station,fold,horizon_steps,purged_test_daylight_origins_n,future_target_missing_n,target_available_daylight_n,excluded_current_power_missing_n,model_evaluable_n,model_evaluable_origin_sha256,raw_file_sha256,scope,target_interpolated
CSGS5,q3_2020,4,5888,1228,4660,340,4320,29878ab3c450bd211e716ca7acb43f6186ac5bee58ee732526827a4b830e9803,e3910a4cbb66b7df80a7158a1a3718a67294bef5276c364531315657fe89cdd1,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS5,q4_2020,1,5888,2126,3762,93,3669,eb4002e1e1c3a760ef63ecdb8571544195d1bc54e1f27c5235a019592decbadf,e3910a4cbb66b7df80a7158a1a3718a67294bef5276c364531315657fe89cdd1,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS5,q4_2020,4,5888,2126,3762,369,3393,b9e52f68e1e9ce46ee5929c176a0ef7d7878f86af10fad0320da199eb059262d,e3910a4cbb66b7df80a7158a1a3718a67294bef5276c364531315657fe89cdd1,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS6,q1_2020,1,5824,0,5824,0,5824,b0a6ddf5e085a5d4206ab6871f143ae90d99c63f3ba669ad84a66cc952e2b6ff,6de663251d577b15f0c93c76ae239797690c89045e26e60f48546235ca4fdd13,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS6,q1_2020,4,5824,0,5824,0,5824,b0a6ddf5e085a5d4206ab6871f143ae90d99c63f3ba669ad84a66cc952e2b6ff,6de663251d577b15f0c93c76ae239797690c89045e26e60f48546235ca4fdd13,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS6,q2_2020,1,5824,0,5824,0,5824,2367bb2f5e28bd1b43e0912787a0db1a514d77d84a7920759340feb234e5a078,6de663251d577b15f0c93c76ae239797690c89045e26e60f48546235ca4fdd13,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS6,q2_2020,4,5824,0,5824,0,5824,2367bb2f5e28bd1b43e0912787a0db1a514d77d84a7920759340feb234e5a078,6de663251d577b15f0c93c76ae239797690c89045e26e60f48546235ca4fdd13,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS6,q3_2020,1,5888,0,5888,0,5888,9bda20db4f3188e06bae57336c24aaa9eccc05ec449548bee47e6e359306c8fc,6de663251d577b15f0c93c76ae239797690c89045e26e60f48546235ca4fdd13,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS6,q3_2020,4,5888,0,5888,0,5888,9bda20db4f3188e06bae57336c24aaa9eccc05ec449548bee47e6e359306c8fc,6de663251d577b15f0c93c76ae239797690c89045e26e60f48546235ca4fdd13,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS6,q4_2020,1,5888,0,5888,0,5888,5263c5d16993389b82842ed42480af4c0a82ec0ac3709ddfcccb547f85dac6b9,6de663251d577b15f0c93c76ae239797690c89045e26e60f48546235ca4fdd13,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS6,q4_2020,4,5888,0,5888,0,5888,5263c5d16993389b82842ed42480af4c0a82ec0ac3709ddfcccb547f85dac6b9,6de663251d577b15f0c93c76ae239797690c89045e26e60f48546235ca4fdd13,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS7,q1_2020,1,5824,0,5824,0,5824,b0a6ddf5e085a5d4206ab6871f143ae90d99c63f3ba669ad84a66cc952e2b6ff,8a2c7f5be98d1f21205b667359eafe16fce4cf0d43d4ffebcef6d53f4af86289,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS7,q1_2020,4,5824,0,5824,0,5824,b0a6ddf5e085a5d4206ab6871f143ae90d99c63f3ba669ad84a66cc952e2b6ff,8a2c7f5be98d1f21205b667359eafe16fce4cf0d43d4ffebcef6d53f4af86289,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS7,q2_2020,1,5824,0,5824,0,5824,2367bb2f5e28bd1b43e0912787a0db1a514d77d84a7920759340feb234e5a078,8a2c7f5be98d1f21205b667359eafe16fce4cf0d43d4ffebcef6d53f4af86289,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS7,q2_2020,4,5824,0,5824,0,5824,2367bb2f5e28bd1b43e0912787a0db1a514d77d84a7920759340feb234e5a078,8a2c7f5be98d1f21205b667359eafe16fce4cf0d43d4ffebcef6d53f4af86289,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS7,q3_2020,1,5888,0,5888,0,5888,9bda20db4f3188e06bae57336c24aaa9eccc05ec449548bee47e6e359306c8fc,8a2c7f5be98d1f21205b667359eafe16fce4cf0d43d4ffebcef6d53f4af86289,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS7,q3_2020,4,5888,0,5888,0,5888,9bda20db4f3188e06bae57336c24aaa9eccc05ec449548bee47e6e359306c8fc,8a2c7f5be98d1f21205b667359eafe16fce4cf0d43d4ffebcef6d53f4af86289,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS7,q4_2020,1,5888,0,5888,0,5888,5263c5d16993389b82842ed42480af4c0a82ec0ac3709ddfcccb547f85dac6b9,8a2c7f5be98d1f21205b667359eafe16fce4cf0d43d4ffebcef6d53f4af86289,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS7,q4_2020,4,5888,0,5888,0,5888,5263c5d16993389b82842ed42480af4c0a82ec0ac3709ddfcccb547f85dac6b9,8a2c7f5be98d1f21205b667359eafe16fce4cf0d43d4ffebcef6d53f4af86289,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS8,q1_2020,1,5824,0,5824,0,5824,b0a6ddf5e085a5d4206ab6871f143ae90d99c63f3ba669ad84a66cc952e2b6ff,a881cd956c97adf796bd821d3a5d93d21fcee6a12dc1956d82d66a9208990102,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS8,q1_2020,4,5824,0,5824,0,5824,b0a6ddf5e085a5d4206ab6871f143ae90d99c63f3ba669ad84a66cc952e2b6ff,a881cd956c97adf796bd821d3a5d93d21fcee6a12dc1956d82d66a9208990102,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS8,q2_2020,1,5824,64,5760,0,5760,1fb2048d54bd4e032940697979aedd5d94f5b43e54c40d2817e6f773d45578b3,a881cd956c97adf796bd821d3a5d93d21fcee6a12dc1956d82d66a9208990102,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS8,q2_2020,4,5824,64,5760,0,5760,1fb2048d54bd4e032940697979aedd5d94f5b43e54c40d2817e6f773d45578b3,a881cd956c97adf796bd821d3a5d93d21fcee6a12dc1956d82d66a9208990102,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS8,q3_2020,1,5888,0,5888,0,5888,9bda20db4f3188e06bae57336c24aaa9eccc05ec449548bee47e6e359306c8fc,a881cd956c97adf796bd821d3a5d93d21fcee6a12dc1956d82d66a9208990102,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS8,q3_2020,4,5888,0,5888,0,5888,9bda20db4f3188e06bae57336c24aaa9eccc05ec449548bee47e6e359306c8fc,a881cd956c97adf796bd821d3a5d93d21fcee6a12dc1956d82d66a9208990102,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS8,q4_2020,1,5888,256,5632,0,5632,ba61cab5d09b13637ca42f5191026ba8bbf33796ee293e3d60fbf7067b09d07e,a881cd956c97adf796bd821d3a5d93d21fcee6a12dc1956d82d66a9208990102,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS8,q4_2020,4,5888,256,5632,0,5632,ba61cab5d09b13637ca42f5191026ba8bbf33796ee293e3d60fbf7067b09d07e,a881cd956c97adf796bd821d3a5d93d21fcee6a12dc1956d82d66a9208990102,post_run_population_accounting_no_predictions_for_excluded_origins,False
