date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Atmosphere (hpa),Relative humidity (%),Power (MW)
2019-01-02 23:30:00,0,0,0,1033.6,61.4,-0.0357
2019-01-02 23:45:00,0,0,0,1033.8,61.6,-0.0378
2019-01-03 00:00:00,0,0,0,1033.5,62.2,-0.0357
2019-01-03 00:15:00,0,0,0,1033.6,62.5,-0.0378
2019-01-03 00:30:00,0,0,0,1033.4,62.7,-0.0357
2019-01-03 00:45:00,0,0,0,1033.3,63.2,-0.0378
2019-01-03 01:00:00,0,0,0,1033.1,63.5,-0.0357
2019-01-03 01:15:00,0,0,0,1033.2,63.4,-0.0378
2019-01-03 01:30:00,0,0,0,1033.5,63.5,-0.0378
2019-01-03 01:45:00,0,0,0,1033.4,63.6,-0.0357
2019-01-03 02:00:00,0,0,0,1033.3,63.9,-0.0378
2019-01-03 02:15:00,0,0,0,1033.2,63.7,-0.0378
2019-01-03 02:30:00,0,0,0,1033.7,63.6,-0.0378
2019-01-03 02:45:00,0,0,0,1033.7,64.0,-0.0378
2019-01-03 03:00:00,0,0,0,1033.9,64.2,-0.0378
2019-01-03 03:15:00,0,0,0,1033.9,64.1,-0.0336
2019-01-03 03:30:00,0,0,0,1033.8,64.2,-0.0336
2019-01-03 03:45:00,0,0,0,1033.8,64.1,-0.0378
2019-01-03 04:00:00,0,0,0,1033.9,63.5,-0.0378
2019-01-03 04:15:00,0,0,0,1033.9,62.7,-0.0357
2019-01-03 04:30:00,0,0,0,1033.9,62.3,-0.0357
2019-01-03 04:45:00,0,0,0,1033.7,62.4,-0.0378
2019-01-03 05:00:00,0,0,0,1033.7,62.6,-0.0378
2019-01-03 05:15:00,0,0,0,1033.6,62.7,-0.0378
2019-01-03 05:30:00,0,0,0,1033.8,62.1,-0.0378
2019-01-03 05:45:00,0,0,0,1034.2,60.8,-0.0357
2019-01-03 06:00:00,0,0,0,1034.1,60.3,-0.0378
2019-01-03 06:15:00,0,0,0,1034.1,60.5,-0.0357
2019-01-03 06:30:00,0,0,0,1034.2,61.0,-0.0378
2019-01-03 06:45:00,0,0,0,1034.3,61.7,-0.0378
2019-01-03 07:00:00,0,0,0,1034.3,62.5,-0.0357
2019-01-03 07:15:00,0,0,0,1034.4,63.2,-0.0063
2019-01-03 07:30:00,0,0,0,1034.7,63.8,0.238728
2019-01-03 07:45:00,0,0,0,1034.9,64.3,0.711921
2019-01-03 08:00:00,38,0,39,1035.2,64.7,1.385475
2019-01-03 08:15:00,56,0,55,1035.1,64.8,2.3851485
2019-01-03 08:30:00,77,0,73,1035.1,65.0,3.6299445
2019-01-03 08:45:00,89,0,82,1035.4,65.3,4.8235845
2019-01-03 09:00:00,99,0,99,1035.4,65.2,9.263499
2019-01-03 09:15:00,95,0,102,1035.5,65.0,12.2625195
2019-01-03 09:30:00,139,0,119,1035.5,64.8,12.2198895
2019-01-03 09:45:00,211,35,129,1035.3,64.4,13.1321715
2019-01-03 10:00:00,377,0,174,1034.9,63.7,12.3222015
2019-01-03 10:15:00,506,0,128,1035.3,62.8,10.2887505
2019-01-03 10:30:00,370,0,117,1035.3,61.5,16.297449
2019-01-03 10:45:00,371,31,133,1035.0,59.8,18.3330315
2019-01-03 11:00:00,546,0,147,1035.0,58.7,18.3671355
2019-01-03 11:15:00,654,38,108,1034.7,58.5,13.978377
2019-01-03 11:30:00,801,0,119,1034.6,58.0,18.2221935
2019-01-03 11:45:00,810,0,122,1034.2,56.0,19.047084
2019-01-03 12:00:00,817,0,115,1034.1,54.9,21.374682
2019-01-03 12:15:00,821,50,112,1033.8,54.6,22.9711755
2019-01-03 12:30:00,824,0,106,1033.7,54.5,22.402065
2019-01-03 12:45:00,811,60,100,1033.5,54.2,22.0972605
2019-01-03 13:00:00,796,0,101,1033.4,54.3,21.421575
2019-01-03 13:15:00,774,0,101,1033.3,54.3,21.268107
2019-01-03 13:30:00,747,0,98,1033.2,54.2,20.4560055
2019-01-03 13:45:00,716,0,94,1032.9,54.1,19.1557905
2019-01-03 14:00:00,677,62,92,1032.8,54.2,15.7411275
2019-01-03 14:15:00,632,0,89,1032.7,53.5,16.4445225
2019-01-03 14:30:00,584,0,85,1032.6,53.4,15.444849
2019-01-03 14:45:00,530,0,80,1032.6,54.0,13.2856395
2019-01-03 15:00:00,471,0,77,1032.3,53.9,11.7125925
2019-01-03 15:15:00,410,0,71,1032.4,54.4,9.0013245
2019-01-03 15:30:00,340,0,66,1032.3,54.8,4.7340615
2019-01-03 15:45:00,272,0,59,1032.3,55.1,2.94147
2019-01-03 16:00:00,205,0,50,1032.2,55.5,2.2700475
2019-01-03 16:15:00,133,0,38,1032.1,56.3,0.8717835
2019-01-03 16:30:00,70,0,0,1032.2,57.3,0.4582725
2019-01-03 16:45:00,0,0,0,1032.0,57.9,0.1555995
2019-01-03 17:00:00,0,63,0,1032.1,57.6,0.0021315
2019-01-03 17:15:00,0,0,0,1032.2,58.3,-0.0609
2019-01-03 17:30:00,0,0,0,1032.3,59.2,-0.0378
2019-01-03 17:45:00,0,35,0,1032.3,59.6,-0.0378
2019-01-03 18:00:00,0,0,0,1032.6,59.7,-0.0378
2019-01-03 18:15:00,0,0,0,1032.6,59.8,-0.0357
2019-01-03 18:30:00,0,34,0,1032.7,59.8,-0.0357
2019-01-03 18:45:00,0,0,0,1032.8,59.8,-0.0357
2019-01-03 19:00:00,0,0,0,1032.8,59.9,-0.0378
2019-01-03 19:15:00,0,32,0,1032.9,60.4,-0.0378
2019-01-03 19:30:00,0,0,0,1032.8,60.9,-0.0357
2019-01-03 19:45:00,0,0,0,1033.0,61.4,-0.0357
2019-01-03 20:00:00,0,0,0,1033.0,61.3,-0.0378
2019-01-03 20:15:00,0,31,0,1033.0,61.3,-0.0378
2019-01-03 20:30:00,0,0,0,1032.8,62.0,-0.0357
2019-01-03 20:45:00,0,0,0,1032.6,62.6,-0.0378
2019-01-03 21:00:00,0,0,0,1032.3,63.4,-0.0357
2019-01-03 21:15:00,0,0,0,1032.4,63.8,-0.0378
2019-01-03 21:30:00,0,0,0,1032.1,64.0,-0.0357
2019-01-03 21:45:00,0,0,0,1032.3,64.4,-0.0378
2019-01-03 22:00:00,0,0,0,1032.2,64.4,-0.0357
2019-01-03 22:15:00,0,0,0,1032.2,64.5,-0.0378
2019-01-03 22:30:00,0,0,0,1032.2,64.9,-0.0378
2019-01-03 22:45:00,0,0,0,1032.3,65.1,-0.0378
2019-01-03 23:00:00,0,0,0,1032.2,65.3,-0.0378
2019-01-03 23:15:00,0,0,0,1032.4,65.4,-0.0336
2019-01-03 23:30:00,0,0,0,1032.2,65.0,-0.0357
2019-01-03 23:45:00,0,0,0,1032.2,65.4,-0.0357
2019-01-04 00:00:00,0,0,0,1032.3,65.6,-0.0357
2019-01-04 00:15:00,0,0,0,1032.3,65.7,-0.0378
2019-01-04 00:30:00,0,0,0,1031.8,65.7,-0.0357
2019-01-04 00:45:00,0,0,0,1031.4,66.2,-0.0357
2019-01-04 01:00:00,0,0,0,1031.5,67.0,-0.0357
2019-01-04 01:15:00,0,0,0,1031.1,67.5,-0.0378
2019-01-04 01:30:00,0,0,0,1030.5,68.0,-0.0378
2019-01-04 01:45:00,0,0,0,1030.3,68.6,-0.0378
2019-01-04 02:00:00,0,0,0,1030.6,69.0,-0.0336
2019-01-04 02:15:00,0,0,0,1030.5,69.2,-0.0378
2019-01-04 02:30:00,0,0,0,1030.1,69.4,-0.0378
2019-01-04 02:45:00,0,0,0,1029.9,69.7,-0.0357
2019-01-04 03:00:00,0,0,0,1029.8,69.9,-0.0378
2019-01-04 03:15:00,0,0,0,1029.6,70.0,-0.0378
2019-01-04 03:30:00,0,0,0,1029.7,70.2,-0.0378
2019-01-04 03:45:00,0,0,0,1029.9,70.3,-0.0357
2019-01-04 04:00:00,0,0,0,1029.8,70.4,-0.0378
2019-01-04 04:15:00,0,0,0,1030.0,70.4,-0.0378
2019-01-04 04:30:00,0,0,0,1030.2,70.4,-0.0357
2019-01-04 04:45:00,0,0,0,1030.3,70.3,-0.0378
2019-01-04 05:00:00,0,0,0,1030.0,70.1,-0.0357
2019-01-04 05:15:00,0,0,0,1030.1,70.1,-0.0357
2019-01-04 05:30:00,0,0,0,1030.1,69.9,-0.0378
2019-01-04 05:45:00,0,0,0,1030.4,69.6,-0.0336
2019-01-04 06:00:00,0,0,0,1030.1,69.3,-0.0378
2019-01-04 06:15:00,0,0,0,1030.1,69.1,-0.0378
2019-01-04 06:30:00,0,0,0,1030.3,69.1,-0.0378
2019-01-04 06:45:00,0,0,0,1030.6,69.1,-0.0378
2019-01-04 07:00:00,0,0,0,1030.5,69.2,-0.0378
2019-01-04 07:15:00,0,0,0,1030.4,69.3,-0.0126
2019-01-04 07:30:00,0,0,0,1030.7,69.5,0.2323335
2019-01-04 07:45:00,0,0,0,1030.6,69.6,0.7055265
2019-01-04 08:00:00,0,0,0,1030.5,69.6,1.3662915
2019-01-04 08:15:00,34,0,36,1030.9,69.6,2.101659
2019-01-04 08:30:00,34,0,41,1031.2,69.6,2.945733
2019-01-04 08:45:00,37,0,49,1031.4,69.6,4.1841345
2019-01-04 09:00:00,51,0,66,1031.4,69.5,7.2193905
2019-01-04 09:15:00,78,0,94,1031.4,69.1,8.56863
2019-01-04 09:30:00,91,0,105,1031.5,68.5,10.120362
2019-01-04 09:45:00,97,0,111,1031.4,68.1,11.7765375
2019-01-04 10:00:00,189,0,185,1031.7,67.5,12.7826055
2019-01-04 10:15:00,101,0,123,1031.9,66.9,13.914432
2019-01-04 10:30:00,174,0,205,1032.1,66.4,14.7862155
2019-01-04 10:45:00,131,0,176,1032.2,66.0,15.9286995
2019-01-04 11:00:00,136,0,177,1032.3,65.5,16.0821675
2019-01-04 11:15:00,183,0,220,1031.9,64.6,17.7319485
2019-01-04 11:30:00,256,0,248,1031.6,62.2,12.7911315
2019-01-04 11:45:00,250,0,245,1031.5,60.1,17.7148965
2019-01-04 12:00:00,295,0,260,1031.3,59.5,15.6004485
2019-01-04 12:15:00,355,0,281,1031.2,59.4,16.949688
2019-01-04 12:30:00,341,0,293,1031.1,59.8,16.7429325
2019-01-04 12:45:00,176,0,205,1031.1,58.9,15.3574575
2019-01-04 13:00:00,403,0,307,1030.8,57.7,12.918514
2019-01-04 13:15:00,221,0,217,1030.9,58.3,10.536512
2019-01-04 13:30:00,229,0,212,1030.9,57.3,7.9398375
2019-01-04 13:45:00,291,0,207,1030.9,55.2,8.2595625
2019-01-04 14:00:00,123,0,113,1030.9,53.9,5.844573
2019-01-04 14:15:00,304,48,160,1031.1,53.5,7.093632
2019-01-04 14:30:00,439,0,174,1031.0,53.6,6.6779895
2019-01-04 14:45:00,417,0,165,1031.1,53.6,5.303172
2019-01-04 15:00:00,322,0,158,1031.2,53.3,5.439588
2019-01-04 15:15:00,201,0,119,1031.3,52.9,2.817843
2019-01-04 15:30:00,254,0,92,1031.2,52.6,2.4789345
2019-01-04 15:45:00,202,38,79,1031.6,52.6,3.2420115
2019-01-04 16:00:00,86,0,44,1031.7,52.3,2.6963475
2019-01-04 16:15:00,61,0,46,1031.9,53.0,1.6092825
2019-01-04 16:30:00,35,0,34,1031.9,53.4,0.8760465
2019-01-04 16:45:00,0,0,0,1032.1,53.8,0.1811775
2019-01-04 17:00:00,0,0,0,1032.3,53.5,-0.0063
2019-01-04 17:15:00,0,0,0,1032.4,53.8,-0.0399
2019-01-04 17:30:00,0,0,0,1032.5,53.9,-0.0378
2019-01-04 17:45:00,0,0,0,1032.7,54.3,-0.0378
2019-01-04 18:00:00,0,0,0,1033.0,54.4,-0.0378
2019-01-04 18:15:00,0,0,0,1033.1,54.5,-0.0378
2019-01-04 18:30:00,0,37,0,1033.4,54.4,-0.0378
2019-01-04 18:45:00,0,48,0,1033.7,55.3,-0.0378
2019-01-04 19:00:00,0,56,0,1033.8,55.5,-0.0378
2019-01-04 19:15:00,0,0,0,1033.8,55.8,-0.0378
2019-01-04 19:30:00,0,0,0,1034.2,55.9,-0.0357
2019-01-04 19:45:00,0,0,0,1034.1,56.0,-0.0378
2019-01-04 20:00:00,0,43,0,1034.6,56.1,-0.0378
2019-01-04 20:15:00,0,0,0,1034.5,56.4,-0.0336
2019-01-04 20:30:00,0,68,0,1034.5,56.7,-0.0378
2019-01-04 20:45:00,0,0,0,1034.7,56.2,-0.0378
2019-01-04 21:00:00,0,0,0,1034.6,56.2,-0.0378
2019-01-04 21:15:00,0,0,0,1034.7,55.8,-0.0378
2019-01-04 21:30:00,0,0,0,1034.5,55.5,-0.0378
2019-01-04 21:45:00,0,0,0,1034.5,55.8,-0.0336
2019-01-04 22:00:00,0,0,0,1034.6,55.9,-0.0378
2019-01-04 22:15:00,0,0,0,1034.7,56.1,-0.0357
2019-01-04 22:30:00,0,0,0,1034.8,56.4,-0.0378
2019-01-04 22:45:00,0,56,0,1034.7,56.4,-0.0378
2019-01-04 23:00:00,0,0,0,1035.0,56.6,-0.0357
2019-01-04 23:15:00,0,0,0,1035.1,57.1,-0.0378
2019-01-04 23:30:00,0,0,0,1035.3,56.7,-0.0378
2019-01-04 23:45:00,0,0,0,1035.0,56.4,-0.0378
2019-01-05 00:00:00,0,0,0,1035.2,55.8,-0.0378
2019-01-05 00:15:00,0,50,0,1035.3,55.2,-0.0378
2019-01-05 00:30:00,0,50,0,1035.2,55.0,-0.0378
2019-01-05 00:45:00,0,0,0,1035.3,54.8,-0.0357
2019-01-05 01:00:00,0,0,0,1035.3,54.9,-0.0378
2019-01-05 01:15:00,0,0,0,1035.1,55.0,-0.0378
2019-01-05 01:30:00,0,0,0,1035.2,54.6,-0.0378
2019-01-05 01:45:00,0,0,0,1035.4,55.2,-0.0378
2019-01-05 02:00:00,0,0,0,1035.6,55.8,-0.0378
2019-01-05 02:15:00,0,46,0,1035.5,56.0,-0.0357
2019-01-05 02:30:00,0,45,0,1035.3,55.6,-0.0378
2019-01-05 02:45:00,0,0,0,1035.5,53.7,-0.0357
2019-01-05 03:00:00,0,0,0,1035.7,54.0,-0.0378
2019-01-05 03:15:00,0,0,0,1036.0,54.3,-0.0378
2019-01-05 03:30:00,0,38,0,1035.8,54.4,-0.0378
2019-01-05 03:45:00,0,32,0,1036.0,54.4,-0.0378
2019-01-05 04:00:00,0,0,0,1036.1,53.1,-0.0357
2019-01-05 04:15:00,0,37,0,1036.1,51.9,-0.0378
2019-01-05 04:30:00,0,0,0,1036.1,52.0,-0.0336
2019-01-05 04:45:00,0,0,0,1036.1,51.9,-0.0378
2019-01-05 05:00:00,0,0,0,1036.0,51.4,-0.0357
2019-01-05 05:15:00,0,0,0,1036.0,51.8,-0.0357
2019-01-05 05:30:00,0,0,0,1036.3,52.5,-0.0378
2019-01-05 05:45:00,0,37,0,1036.3,51.2,-0.0378
2019-01-05 06:00:00,0,39,0,1036.1,50.7,-0.0378
